size_bytes,num_nodes,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
961544,120193,1000,107.010944,46.72,1898.0110192882823,45.212,46.367000000000004,47.077,45.8956,48.1162,60067.344,52
1048576,131072,1000,80.85982800000001,47.714,1028.3529929516865,46.052,47.376,48.117,46.7916,51.20039999999999,32567.148,74
1143480,142935,1000,81.25893599999999,48.392,1028.273624002989,46.648,48.036,48.782,47.583800000000004,49.74219999999999,32565.528,50
1246968,155871,1000,49.593332,49.153999999999996,3.4697775972460176,47.668,48.756,49.5,48.288,51.90979999999999,138.992,61
1359832,169979,1000,115.391996,49.68,1463.5035966842925,47.964,49.34,50.052,48.9152,50.852399999999996,33004.82,48
1482904,185363,1000,116.237032,50.397999999999996,1454.3209487722786,49.08,50.019000000000005,50.849,49.5394,58.0004,32604.136,104
1617120,202140,1000,145.212048,50.848,1718.556999979124,49.528,50.511,51.188,50.0918,51.9002,32573.336,42
1763488,220436,1000,111.633976,51.36,1897.9627123683722,49.672,51.075,51.697,50.6396,52.45399999999999,60070.444,49
1923096,240387,1000,84.483332,51.82,1028.639312867025,50.176,51.52,52.112,51.0396,52.632,32580.364,36
2097152,262144,1000,78.044272,45.336,1028.1516052541438,44.084,45.104,45.629,44.7196,46.1888,32558.516,36
2286960,285870,1000,78.287704,45.634,1028.0768132251499,44.468,45.368,45.912,44.9758,46.3762,32556.4,29
2493944,311743,1000,79.370296,46.446,1028.5740539800609,45.008,46.156,46.789,45.7076,48.92079999999999,32573.12,74
2719664,339958,1000,112.578236,47.232,1454.3613022102033,46.048,46.928,47.525,46.552,48.288399999999996,32606.8,46
2965816,370727,1000,112.263452,48.056,1427.0008418161567,46.892,47.775000000000006,48.364,47.3756,50.6564,32565.536,61
3234248,404281,1000,48.977936,48.712,2.696250196295779,47.428,48.46,49.04,48.1036,49.524,124.48,31
3526968,440871,1000,114.747284,49.454,1449.534875927177,48.26,49.179,49.728,48.864,52.414199999999994,32568.156,69
3846192,480774,1000,142.764084,50.012,2157.61255470233,48.896,49.752,50.288,49.348,50.9322,60066.06,47
4194304,524288,1000,79.947048,47.144,1028.427543545018,46.116,46.92,47.416,46.592,47.9494,32569.116,43
4573920,571740,1000,80.19578800000001,47.516,1028.0238456119575,46.476,47.292,47.744,46.984,48.2282,32556.632,31
4987896,623487,1000,113.448424,48.272,1453.314361945608,47.224,48.044,48.516,47.7196,48.9206,32564.748,35
5439336,679917,1000,114.37558800000001,48.998000000000005,1453.4977934540107,47.928,48.747,49.272,48.416,51.3868,32568.704,60
5931640,741455,1000,114.873876,49.617999999999995,1453.2491222645908,48.308,49.388,49.893,49.028,50.444,32563.092,48
6468496,808562,1000,112.993144,47.792,1453.3297695523775,46.832,47.556,47.992,47.2556,48.392,32562.148,25
7053944,881743,1000,113.92914,48.492,1453.2567274961355,47.308,48.26,48.716,47.9398,51.34159999999999,32562.064,66
7692384,961548,1000,114.300996,49.14,1453.1938242986046,48.116,48.907000000000004,49.357,48.5878,49.7002,32560.572,31
8388608,1048576,1000,113.389836,48.068,1453.1506881103037,47.02,47.851,48.308,47.5398,50.1832,32559.136,65
9147840,1143480,1000,81.272508,48.56,1028.1718274176965,47.668,48.36,48.768,48.0636,49.2002,32562.376,37
9975792,1246974,1000,81.978184,49.248,1028.2016920724275,48.152,49.028,49.48,48.7038,49.9568,32564.024,40
10878672,1359834,1000,113.890948,48.404,1453.3954121000074,47.296,48.204,48.625,47.92,51.611,32564.912,90
11863280,1482910,1000,114.43572,49.056,1453.5073189280674,47.744,48.86,49.264,48.5918,49.8842,32572.196,52
12937000,1617125,1000,113.582344,48.428,1453.1975346538675,47.36,48.227000000000004,48.649,47.92,48.9762,32560.508,29
14107896,1763487,1000,82.046992,49.168,1028.1060938187086,48.228,48.94,49.388,48.68,51.252599999999994,32561.032,63
15384768,1923096,1000,113.88432399999999,48.7,1453.2386547512608,47.708,48.504,48.88,48.232,49.2604,32562.244,43
16777216,2097152,1000,113.939896,48.716,1453.3318602880008,47.656,48.48,49.016,48.147600000000004,49.5842,32562.956,38
18295680,2286960,1000,113.02798800000001,49.592,1412.3424635154836,48.444,49.248,50.021,48.8752,51.031,32566.5,45
19951584,2493948,1000,116.3038,50.822,1453.4043321880938,48.528,50.188,51.573,49.3472,53.736399999999996,32570.432,52
21757352,2719669,1000,84.356896,51.438,1028.084299627552,49.256,50.851,52.153,50.1158,54.2542,32562.612,53
23726560,2965820,1000,117.169748,51.908,1453.3296891885768,49.324,51.223,52.712,50.2838,54.1794,32568.188,29
25874000,3234250,1000,123.16905200000001,57.952,1453.1640992914995,52.296,56.584,59.510000000000005,54.799,61.693999999999996,32570.408,20
28215800,3526975,1000,144.347048,67.50999999999999,1453.8416925589568,59.664,64.943,72.411,62.4714,140.32500000000002,32607.444,161
30769544,3846193,1000,192.910644,95.25999999999999,1778.8403269237594,84.328,92.472,97.94200000000001,88.6358,102.4658,32607.508,23
33554432,4194304,1000,201.90246,103.42,1779.1207914551794,89.124,99.223,108.976,95.0394,114.8014,32636.472,8
36591368,4573921,1000,222.28307999999998,109.38,2088.9150181091436,97.2,106.893,111.864,103.13539999999999,117.39219999999999,47622.484,35
39903168,4987896,1000,131.639304,130.952,4.891603863759201,120.3,128.48000000000002,133.837,125.3796,141.139,169.42,44
43514712,5439339,1000,120.376824,119.988,6.6747617321673145,109.88,117.591,122.564,114.3646,126.8266,288.848,19
47453128,5931641,1000,132.733788,132.144,4.910913257641605,122.392,129.719,134.84,126.5356,140.8742,187.616,33
51748008,6468501,1000,268.860212,141.796,1984.3316745297236,132.812,139.611,144.482,136.7112,149.9552,32657.56,35
56431600,7053950,1000,271.489608,143.476,2015.4717257886532,131.864,141.042,145.98700000000002,137.489,152.6696,32663.24,40
61539096,7692387,1000,311.833156,149.136,2294.460010260999,136.328,146.59,151.47500000000002,143.1918,156.48379999999997,32669.2,36
67108864,8388608,1000,285.000168,154.438,2053.247672166398,142.924,152.607,156.641,149.89079999999998,161.2688,32670.664,40
